Company Name,Product Name,Price Per Kg,Price,Weight
caseificio pieve roffeno,parmigiano reggiano 24 mesi prodotto di montagna,26.00€/kg,"13,00 €",0.5kg
caseificio pieve roffeno,parmigiano reggiano 24 mesi prodotto di montagna,23.00€/kg,"23,00 €",1kg
caseificio pieve roffeno,parmigiano reggiano 30 mesi prodotto di montagna,28.00€/kg,"14,00 €",0.5kg
caseificio pieve roffeno,parmigiano reggiano 30 mesi prodotto di montagna,25.00€/kg,"25,00 €",1kg
caseificio pieve roffeno,parmigiano reggiano prodotto di montagna 40 mesi,35.00€/kg,"17,50 €",0.5kg
caseificio pieve roffeno,parmigiano reggiano prodotto di montagna 40 mesi,33.00€/kg,"33,00 €",1kg
caseificio pieve roffeno,parmigiano reggiano 50 mesi prodotto di montagna,38.00€/kg,"19,00 €",0.5kg
caseificio pieve roffeno,parmigiano reggiano 50 mesi prodotto di montagna,36.00€/kg,"36,00 €",1kg
traversetolese specialita' di parma,parmigiano reggiano 24 mesi,22.50€/kg,"11,25 €",0.5kg
traversetolese specialita' di parma,parmigiano reggiano 24 mesi,19.71€/kg,"21,90 €",1kg
traversetolese specialita' di parma,parmigiano reggiano 24 mesi - ottavo di forma,20.3€/kg,"101,50 €",5kg min
traversetolese specialita' di parma,parmigiano reggiano 30 mesi,20.61€/kg,"22,90 €",1kg
latteria due madonne,parmigiano reggiano 12 mesi,22.00€/kg,"6,60 €",0.3kg
latteria due madonne,parmigiano reggiano 12 mesi,16.57€/kg,"11,60 €",0.7kg
latteria due madonne,parmigiano reggiano 12 mesi,16.50€/kg,"16,50 €",1kg
latteria due madonne,parmigiano reggiano 24 mesi,25.00€/kg,"7,50 €",0.3kg
latteria due madonne,parmigiano reggiano 24 mesi,19.86€/kg,"13,90 €",0.7kg
latteria due madonne,parmigiano reggiano 24 mesi,19.50€/kg,"19,50 €",1kg
latteria due madonne,parmigiano reggiano 36 mesi,28.33€/kg,"8,50 €",0.3kg
latteria due madonne,parmigiano reggiano 36 mesi,23.50€/kg,"23,50 €",1kg
latteria due madonne,parmigiano reggiano 48 mesi,30.50€/kg,"24,40 €",0.8kg
soc. agricola valserena,parmigiano reggiano vacca bruna 12 mesi,19.80€/kg,"9,90 €",0.5kg
soc. agricola valserena,parmigiano reggiano vacca bruna 12 mesi,19.80€/kg,"19,80 €",1kg
soc. agricola valserena,parmigiano reggiano vacca bruna 12 mesi - quarto di forma,19.8€/kg,"198,00 €",9.5kg min
caseificio ugolotti,parmigiano reggiano 12 mesi,16.92€/kg,"9,40 €",0.5kg
caseificio ugolotti,parmigiano reggiano 12 mesi,14.76€/kg,"16,40 €",1kg
caseificio ugolotti,parmigiano reggiano 18 mesi,18.00€/kg,"10,00 €",0.5kg
caseificio ugolotti,parmigiano reggiano 18 mesi,16.29€/kg,"18,10 €",1kg
caseificio ugolotti,parmigiano reggiano 24 mesi,26.00€/kg,"6,50 €",0.25kg
caseificio ugolotti,parmigiano reggiano 24 mesi,21.40€/kg,"10,70 €",0.5kg
caseificio ugolotti,parmigiano reggiano 24 mesi,19.50€/kg,"19,50 €",1kg
caseificio ugolotti,parmigiano reggiano 30 mesi,27.60€/kg,"6,90 €",0.25kg
caseificio ugolotti,parmigiano reggiano 30 mesi,23.20€/kg,"11,60 €",0.5kg
caseificio ugolotti,parmigiano reggiano 30 mesi,20.80€/kg,"20,80 €",1kg
caseificio ugolotti,parmigiano reggiano 36 mesi,30.00€/kg,"7,50 €",0.25kg
caseificio ugolotti,parmigiano reggiano 36 mesi,26.00€/kg,"13,00 €",0.5kg
caseificio beato marco di mocogno ,parmigiano reggiano 40 mesi prodotto di montagna,27.07€/kg,"54,14 €",2kg
caseificio beato marco di mocogno ,parmigiano reggiano 40 mesi - ottavo di forma,€/kg,"101,11 €",4.5kg min
caseificio beato marco di mocogno ,parmigiano reggiano 40 mesi - quarto di forma,22.47€/kg,"202,21 €",9kg min
caseificio beato marco di mocogno ,parmigiano reggiano 40 mesi - mezza forma,22.47€/kg,"415,66 €",18kg min
caseificio beato marco di mocogno ,parmigiano reggiano 40 mesi - forma intera,22.47€/kg,"842,55 €",37kg min
consorzio vacche rosse,parmigiano reggiano vacche rosse 24 mesi grattugiato fresco,32.50€/kg,"2,60 €",0.08kg
consorzio vacche rosse,parmigiano reggiano vacche rosse 24 mesi,37.20€/kg,"9,30 €",0.25kg
consorzio vacche rosse,parmigiano reggiano vacche rosse 24 mesi,33.50€/kg,"16,75 €",0.5kg
consorzio vacche rosse,parmigiano reggiano vacche rosse 24 mesi,30.50€/kg,"30,50 €",1kg
consorzio vacche rosse,parmigiano reggiano vacche rosse 30 mesi,41.20€/kg,"10,30 €",0.25kg
consorzio vacche rosse,parmigiano reggiano vacche rosse 30 mesi,37.00€/kg,"18,50 €",0.5kg
consorzio vacche rosse,parmigiano reggiano vacche rosse 30 mesi,34.00€/kg,"34,00 €",1kg
caseificio araldi,parmigiano reggiano 12 mesi,17.80€/kg,"8,90 €",0.5kg
caseificio araldi,parmigiano reggiano 12 mesi,16.70€/kg,"16,70 €",1kg
caseificio araldi,parmigiano reggiano 24 mesi,20.40€/kg,"10,20 €",0.5kg
caseificio araldi,parmigiano reggiano 24 mesi,19.80€/kg,"19,80 €",1kg
caseificio araldi,parmigiano reggiano 30 mesi,22.40€/kg,"11,20 €",0.5kg
caseificio araldi,parmigiano reggiano 30 mesi,21.10€/kg,"21,10 €",1kg
caseificio araldi,parmigiano reggiano 36 mesi,24.60€/kg,"12,30 €",0.5kg
caseificio araldi,parmigiano reggiano 36 mesi,23.70€/kg,"23,70 €",1kg
caseificio araldi,parmigiano reggiano 40 mesi,28.00€/kg,"14,00 €",0.5kg
caseificio araldi,parmigiano reggiano 40 mesi,27.50€/kg,"27,50 €",1kg
caseificio butteri,parmigiano reggiano 12 mesi,15.70€/kg,"7,85 €",0.5kg
caseificio butteri,parmigiano reggiano 12 mesi,15.70€/kg,"15,70 €",1kg
latteria la grande,parmigiano reggiano 36 mesi - quarto di forma,21.3€/kg,"210,00 €",9kg min
latteria la grande,parmigiano reggiano 36 mesi - mezza forma,20€/kg,"360,00 €",18kg min
latteria la grande,parmigiano reggiano 36 mesi - forma intera,20€/kg,"740,00 €",37kg min
latteria la grande,parmigiano reggiano 40 mesi,24.39€/kg,"27,10 €",1kg
latteria la grande,parmigiano reggiano 40 mesi - ottavo di forma,25€/kg,"125,00 €",4.5kg min
latteria la grande,parmigiano reggiano 40 mesi - quarto di forma,23.5€/kg,"223,25 €",9kg min
latteria la grande,parmigiano reggiano 40 mesi - mezza forma,23€/kg,"437,00 €",18kg min
latteria la grande,parmigiano reggiano 40 mesi - forma intera,22.5€/kg,"832,50 €",36kg min
latteria la grande,parmigiano reggiano 40 mesi,28.20€/kg,"14,10 €",0.5kg
latteria la grande,parmigiano reggiano 50 mesi - 0.5 kg,35.00€/kg,"17,50 €",0.5kg
latteria la grande,parmigiano reggiano 50 mesi,33.00€/kg,"33,00 €",1kg
latteria la grande,parmigiano reggiano 60 mesi ,46.00€/kg,"23,00 €",0.5kg
latteria due madonne,parmigiano reggiano 24 mesi,19.86€/kg,"13,90 €",0.7kg
latteria due madonne,parmigiano reggiano 24 mesi,19.50€/kg,"19,50 €",1kg
latteria due madonne,parmigiano reggiano 36 mesi,28.33€/kg,"8,50 €",0.3kg
latteria due madonne,parmigiano reggiano 36 mesi,23.50€/kg,"23,50 €",1kg
latteria due madonne,parmigiano reggiano 48 mesi,30.50€/kg,"24,40 €",0.8kg
caseificio araldi,parmigiano reggiano 12 mesi,17.80€/kg,"8,90 €",0.5kg
caseificio araldi,parmigiano reggiano 12 mesi,16.70€/kg,"16,70 €",1kg
caseificio araldi,parmigiano reggiano 24 mesi,20.40€/kg,"10,20 €",0.5kg
caseificio araldi,parmigiano reggiano 24 mesi,19.80€/kg,"19,80 €",1kg
caseificio araldi,parmigiano reggiano 30 mesi,22.40€/kg,"11,20 €",0.5kg
caseificio araldi,parmigiano reggiano 30 mesi,21.10€/kg,"21,10 €",1kg
caseificio araldi,parmigiano reggiano 36 mesi,24.60€/kg,"12,30 €",0.5kg
caseificio san salvatore,parmigiano reggiano 36 mesi,26.50€/kg,"26,50 €",1kg
caseificio san salvatore,parmigiano reggiano 48 mesi,34.00€/kg,"34,00 €",1kg
caseificio san salvatore,parmigiano reggiano 60 mesi,45.00€/kg,"45,00 €",1kg
caseificio san salvatore,parmigiano reggiano 70 mesi,54.00€/kg,"54,00 €",1kg
caseificio beato marco di mocogno ,parmigiano reggiano 12 mesi,15.54€/kg,"7,77 €",0.5kg
caseificio beato marco di mocogno ,parmigiano reggiano 12 mesi ,15.53€/kg,"15,53 €",1kg
caseificio beato marco di mocogno ,parmigiano reggiano 12 mesi ,15.54€/kg,"31,07 €",2kg
caseificio beato marco di mocogno ,parmigiano reggiano 12 mesi - ottavo di forma,12.89€/kg,"64,47 €",5kg min
caseificio beato marco di mocogno ,parmigiano reggiano 12 mesi - quarto di forma,12.89€/kg,"128,93 €",10kg min
caseificio beato marco di mocogno ,parmigiano reggiano 12 mesi - mezza forma,12.89€/kg,"257,87 €",20kg min
caseificio beato marco di mocogno ,parmigiano reggiano 12 mesi - forma intera,12.89€/kg,"509,28 €",39kg min
caseificio beato marco di mocogno ,parmigiano reggiano 24 mesi prodotto di montagna,19.42€/kg,"9,71 €",0.5kg
caseificio gavasseto e roncadella,parmigiano reggiano 40 mesi,25€/kg,"125,00 €",5kg min
caseificio gavasseto e roncadella,parmigiano reggiano 54 mesi,40.00€/kg,"24,00 €",0.6kg
caseificio gavasseto e roncadella,parmigiano reggiano 54 mesi,36.00€/kg,"40,00 €",1kg
caseificio gavasseto e roncadella,parmigiano reggiano 54 mesi,40.00€/kg,"80,00 €",2kg
caseificio gavasseto e roncadella,parmigiano reggiano 54 mesi,40.00€/kg,"120,00 €",3kg
caseificio gavasseto e roncadella,gr assaggio,40.00€/kg,"21,66 €",
caseificio gavasseto e roncadella,gr provare per credere,40.00€/kg,"39,90 €",
caseificio gavasseto e roncadella,gr non e' uguale,40.00€/kg,"81,56 €",
caseificio cacciali graziano,parmigiano reggiano 14 mesi,19.00€/kg,"9,50 €",0.5kg
caseificio cacciali graziano,parmigiano reggiano 14 mesi,18.29€/kg,"12,80 €",0.7kg
caseificio cacciali graziano,parmigiano reggiano 14 mesi,17.50€/kg,"17,50 €",1kg
caseificio cacciali graziano,parmigiano reggiano 18 mesi,19.00€/kg,"9,50 €",0.5kg
